frame,vehicle_id,vehicle_type,detected,plate_detected,plate_text,individual_toll,total_toll
2219,82,LCV,True,True,LES-3556,500,3000
2220,82,LCV,True,True,LES-3556,500,3000
2221,82,LCV,True,True,LES-3556,500,3000
2222,82,LCV,True,True,LES-3556,500,3000
2223,82,LCV,True,True,LES-3556,500,3000
2224,82,LCV,True,True,LES-3556,500,3000
2225,82,LCV,True,True,LES-3556,500,3500
2226,82,LCV,True,True,LES-3556,500,3500
2227,82,LCV,True,True,LES-3556,500,3500
2228,82,LCV,True,True,LES-3556,500,3500
2229,82,LCV,True,True,LES-3556,500,3500
2230,82,LCV,True,True,LES-3556,500,3500
2231,82,LCV,True,True,LES-3556,500,3500
2232,82,LCV,True,True,LES-3556,500,3500
2233,82,LCV,True,True,LES-3556,500,3500
2234,82,LCV,True,True,LES-3556,500,3500
2235,82,LCV,True,True,LES-3556,500,3500
2236,82,LCV,True,True,LES-3556,500,3500
2237,82,LCV,True,True,LES-3556,500,3500
2238,82,LCV,True,True,LES-3556,500,3500
2239,82,LCV,True,True,LES-3556,500,3500
2240,82,LCV,True,True,LES-3556,500,3500
2241,82,LCV,True,True,LES-3556,500,3500
2242,82,LCV,True,True,LES-3556,500,3500
2243,82,LCV,True,True,LES-3556,500,3500
2244,82,LCV,True,True,LES-3556,500,3500
2245,82,LCV,True,True,LES-3556,500,3500
2246,82,LCV,True,True,LES-3556,500,3500
2247,82,LCV,True,True,LES-3556,500,3500
2248,82,LCV,True,True,LES-3556,500,3500
2249,82,LCV,True,True,LES-3556,500,3500
2250,82,LCV,True,True,LES-3556,500,3500
2251,82,LCV,True,True,LES-3556,500,3500
2252,82,LCV,True,True,LES-3556,500,3500
2253,82,LCV,True,True,LES-3556,500,3500
2254,82,LCV,True,True,LES-3556,500,3500
2255,82,LCV,True,True,LES-3556,500,3500
2256,82,LCV,True,True,LES-3556,500,3500
2257,82,LCV,True,True,LES-3556,500,3500
2258,82,LCV,True,True,LES-3556,500,3500
2259,82,LCV,True,True,LES-3556,500,3500
2260,82,LCV,True,True,LES-3556,500,3500
2261,82,LCV,True,True,LES-3556,500,3500
2262,82,LCV,True,True,LES-3556,500,3500
2263,86,Car,True,True, ,500,3500
2264,86,Car,True,True, ,500,3500
2265,86,Car,True,True, ,500,3500
2266,86,Car,True,True, ,500,3500
2267,86,Car,True,True, ,500,3500
2268,86,Car,True,True, ,500,3500
2269,86,Car,True,True, ,500,3500
2270,86,Car,True,True, ,500,3500
2271,86,Car,True,True, ,500,3500
2272,86,Car,True,True, ,500,3500
2273,86,Car,True,True, ,500,3500
2274,86,Car,True,True, ,500,3500
2275,86,Car,True,True, ,500,3500
2276,86,Car,True,True, ,500,3500
2277,86,Car,True,True, ,500,3500
2278,86,Car,True,True, ,500,3500
2279,86,Car,True,True, ,500,3500
2280,86,Car,True,True, ,500,3500
2281,86,Car,True,True, ,500,3500
2282,86,Car,True,True, ,500,3500
2283,86,Car,True,True, ,500,3500
2284,86,Car,True,True, ,500,3500
2285,86,Car,True,True, ,500,3500
2286,86,Car,True,True, ,500,3500
2287,86,Car,True,True,,500,3500
2288,86,Car,True,True,,500,3500
2289,86,Car,True,True,,500,3500
2290,86,Car,True,True,,500,3500
2291,86,Car,True,True,,500,3500
2292,86,Car,True,True,,500,3500
2293,86,Car,True,True,,500,3500
2294,86,Car,True,True,,500,3500
2295,86,Car,True,True,,500,3500
2296,86,Car,True,True,,500,3500
2297,86,Car,True,True,,500,3500
2298,86,Car,True,True,,500,3500
2299,86,Car,True,True,,500,3500
2300,86,Car,True,True,,500,3500
2301,86,Car,True,True,,500,3500
2302,86,Car,True,True,,500,3500
2303,86,Car,True,True,,500,3500
2304,86,Car,True,True,,500,3500
2305,86,Car,True,True,,500,3500
2306,86,Car,True,True,,500,3500
2307,86,Car,True,True,,500,3500
2308,86,Car,True,True,,500,3500
2309,86,Car,True,True,,500,3500
2310,86,Car,True,True,,500,3500
2311,86,Car,True,True,,500,3500
2312,86,Car,True,True,,500,3500
2313,86,Car,True,True,,500,3500
2314,86,Car,True,True,,500,3500
2315,86,Car,True,True,,500,3500
2316,86,Car,True,True,,500,3500
2317,86,Car,True,True,,500,3500
2318,86,Car,True,True,,500,3500
2319,86,Car,True,True,AEJ-108,500,3500
2320,86,Car,True,True,AEJ-108,500,3500
2321,86,Car,True,True,AEJ-108,500,3500
2322,86,Car,True,True,AEJ-108,500,3500
2323,86,Car,True,True,AEJ-108,500,3500
2324,86,Car,True,True,AEJ-108,500,3500
2325,86,Car,True,True,AEJ-108,500,3500
2326,86,Car,True,True,AEJ-108,500,3500
2327,86,Car,True,True,AEJ-108,500,3500
2328,86,Car,True,True,AEJ-108,500,3500
2329,86,Car,True,True,AEJ-108,500,3500
2330,86,Car,True,True,AEJ-108,500,3500
2331,86,Car,True,True,AEJ-108,500,3500
2332,86,Car,True,True,AEJ-108,500,3500
2333,86,Car,True,True,AEJ-108,500,3500
2334,86,Car,True,True,AEJ-108,500,3500
2335,86,Car,True,True,AEJ-108,500,3500
2336,86,Car,True,True,AEJ-108,500,3500
2337,86,Car,True,True,AEJ-108,500,3500
2338,86,Car,True,True,AEJ-108,500,3500
2339,86,Car,True,True,AEJ-108,500,3500
2340,86,Car,True,True,AEJ-108,500,3500
2341,86,Car,True,True,AEJ-108,500,3500
2342,86,Car,True,True,AEJ-108,500,3500
2343,86,Car,True,True,AEJ-108,500,3500
2344,86,Car,True,True,AEJ-108,500,3500
2345,86,Car,True,True,AEJ-108,500,3500
2346,86,Car,True,True,AEJ-108,500,3500
2347,86,Car,True,True,AEJ-108,500,3500
2348,86,Car,True,True,AEJ-108,500,3500
2349,86,Car,True,True,AEJ-108,500,3500
2350,86,Car,True,True,AEJ-108,500,3500
2351,86,Car,True,True,AEJ-108,500,3500
2352,86,Car,True,True,AEJ-108,500,3500
2353,86,Car,True,True,AEJ-108,500,3500
2354,86,Car,True,True,AEJ-108,500,3500
2355,86,Car,True,True,AEJ-108,500,3500
