frame,vehicle_id,v_x1,v_y1,v_x2,v_y2,vehicle_type,bbox_area,detected,plate_detected,p_x1,p_y1,p_x2,p_y2,plate_text,individual_toll,total_toll
101,87,439,209,635,364,Car,3303,True,True,541,319,581,340,DETECTED,500,1000
102,88,410,200,470,256,Car,31630,True,False,0,0,0,0,,500,1000
102,87,440,208,637,364,Car,3361,True,True,542,318,583,340,DETECTED,500,1000
103,88,410,199,470,256,Car,31698,True,False,0,0,0,0,,500,1000
103,87,440,208,639,364,Car,3448,True,True,544,318,585,340,DETECTED,500,1000
104,88,411,199,471,256,Car,32054,True,False,0,0,0,0,,500,1000
104,87,440,207,641,364,Car,3562,True,True,546,319,586,342,DETECTED,500,1000
105,88,411,199,472,257,Car,33051,True,False,0,0,0,0,,500,1000
105,87,441,207,643,366,Car,3579,True,True,547,321,589,344,DETECTED,500,1000
106,88,412,199,473,258,Car,33418,True,False,0,0,0,0,,500,1000
106,87,442,207,645,367,Car,3583,True,True,549,322,590,345,DETECTED,500,1000
107,88,412,199,474,258,Car,34126,True,False,0,0,0,0,,500,1000
107,87,442,208,648,369,Car,3737,True,True,550,323,592,347,DETECTED,500,1000
108,88,412,200,474,259,Car,34976,True,False,0,0,0,0,,500,1000
108,87,442,209,650,371,Car,3734,True,True,552,326,594,348,DETECTED,500,1000
109,88,412,200,475,259,Car,35427,True,False,0,0,0,0,,500,1000
109,87,442,210,651,373,Car,3763,True,True,554,328,596,350,DETECTED,500,1000
110,88,412,201,475,260,Car,36383,True,False,0,0,0,0,,500,1000
110,87,442,211,654,376,Car,3713,True,True,556,330,598,353,DETECTED,500,1000
111,88,412,201,476,260,Car,37082,True,False,0,0,0,0,,500,1000
111,87,443,211,657,378,Car,3874,True,True,558,332,602,356,DETECTED,500,1000
112,88,413,201,477,259,Car,37411,True,False,0,0,0,0,,500,1000
112,87,445,212,660,380,Car,3786,True,True,560,332,604,356,DETECTED,500,1000
113,88,413,200,478,259,Car,39060,True,False,0,0,0,0,,500,1000
113,87,445,212,664,382,Car,3793,True,True,563,335,608,359,DETECTED,500,1000
114,88,413,201,478,259,Car,39693,True,False,0,0,0,0,,500,1000
114,87,446,213,667,384,Car,3804,True,True,565,336,610,361,DETECTED,500,1000
115,88,413,201,479,259,Car,40740,True,False,0,0,0,0,,500,1000
115,87,446,213,671,387,Car,3893,True,True,568,339,614,364,DETECTED,500,1000
116,88,414,201,481,261,Car,42044,True,False,0,0,0,0,,500,1000
116,87,447,214,675,389,Car,4207,True,True,570,341,617,367,DETECTED,500,1000
117,88,413,202,480,262,Car,43315,True,False,0,0,0,0,,500,1000
117,87,447,215,678,392,Car,4103,True,True,572,345,619,370,DETECTED,500,1000
118,88,412,202,480,263,Car,44395,True,False,0,0,0,0,,500,1000
118,87,447,215,681,395,Car,4284,True,True,573,348,622,374,DETECTED,500,1000
119,88,411,203,479,264,Car,45680,True,False,0,0,0,0,,500,1000
119,87,447,216,684,398,Car,4317,True,True,575,349,624,376,DETECTED,500,1000
120,88,410,202,479,265,Car,46949,True,False,0,0,0,0,,500,1000
120,87,448,216,688,401,Car,4359,True,True,578,350,627,379,DETECTED,500,1000
121,88,410,202,478,264,Car,48615,True,False,0,0,0,0,,500,1000
121,87,448,216,692,403,Car,4337,True,True,580,354,631,381,DETECTED,500,1000
122,88,409,201,479,265,Car,50491,True,False,0,0,0,0,,500,1000
122,87,448,217,696,407,Car,4596,True,True,583,357,635,386,DETECTED,500,1000
123,88,409,202,479,265,Car,52349,True,False,0,0,0,0,,500,1000
123,87,447,218,701,411,Car,4523,True,True,587,361,640,390,DETECTED,500,1000
124,88,408,203,478,266,Car,54438,True,False,0,0,0,0,,500,1000
124,87,447,219,706,415,Car,4371,True,True,590,365,644,395,DETECTED,500,1000
125,88,408,203,478,267,Car,56447,True,False,0,0,0,0,,500,1000
125,87,448,221,711,420,Car,4630,True,True,593,369,647,400,DETECTED,500,1000
126,88,407,204,478,269,Car,59248,True,False,0,0,0,0,,500,1000
126,87,449,222,718,426,Car,4735,True,True,598,375,653,405,DETECTED,500,1000
127,88,407,204,478,269,Car,61521,True,False,0,0,0,0,,500,1000
127,87,451,223,725,430,Car,4588,True,True,603,378,661,410,DETECTED,500,1000
128,88,408,203,479,268,Car,64229,True,False,0,0,0,0,,500,1000
128,87,453,222,733,433,Car,4447,True,True,609,380,668,413,DETECTED,500,1000
129,88,408,202,479,266,Car,67318,True,True,445,246,462,257,DETECTED,500,1000
129,87,455,221,741,437,Car,4481,True,True,617,383,675,416,DETECTED,500,1000
130,88,409,201,480,265,Car,71081,True,True,444,245,461,256,DETECTED,500,1000
130,87,457,220,749,441,Car,4618,True,True,623,387,683,421,DETECTED,500,1000
131,88,408,200,480,265,Car,75629,True,False,0,0,0,0,,500,1000
131,87,458,220,758,446,Car,4887,True,True,629,391,690,426,DETECTED,500,1000
132,88,408,199,481,265,Car,79788,True,False,0,0,0,0,,500,1000
132,87,458,220,767,452,Car,4960,True,True,636,397,699,432,DETECTED,500,1000
133,88,408,199,482,264,Car,83549,True,True,443,244,460,255,DETECTED,500,1000
133,87,459,220,776,458,Car,5024,True,True,643,403,707,439,DETECTED,500,1000
134,88,408,198,482,264,Car,88227,True,False,0,0,0,0,,500,1000
134,87,461,220,787,464,Car,5031,True,True,650,410,719,448,DETECTED,500,1000
135,88,408,198,484,264,Car,92463,True,True,444,245,460,255,DETECTED,500,1000
135,87,462,220,799,468,Car,5171,True,True,661,417,733,457,DETECTED,500,1000
136,88,408,198,485,265,Car,95381,True,False,0,0,0,0,,500,1000
136,87,464,220,811,471,Car,5416,True,True,671,426,744,467,DETECTED,500,1000
137,88,407,198,486,265,Car,98232,True,False,0,0,0,0,,500,1000
137,87,467,220,826,473,Car,5485,True,True,682,434,759,473,DETECTED,500,1000
138,88,406,198,487,266,Car,98548,True,False,0,0,0,0,,500,1000
138,87,467,220,835,474,Car,5669,True,True,694,443,773,474,DETECTED,500,1000
139,88,407,198,488,265,Car,99021,True,False,0,0,0,0,,500,1000
139,87,465,219,841,474,Car,5577,True,False,0,0,0,0,,500,1000
140,88,407,197,490,265,Car,98403,True,True,445,245,463,255,DETECTED,500,1000
140,87,464,219,844,474,Car,5744,True,False,0,0,0,0,,500,1000
141,88,408,197,491,265,Car,97772,True,True,445,245,462,256,DETECTED,500,1000
141,87,464,219,847,474,Car,5719,True,False,0,0,0,0,,500,1000
142,88,408,198,492,266,Car,97333,True,True,445,245,463,257,DETECTED,500,1000
142,87,463,220,848,474,Car,5966,True,False,0,0,0,0,,500,1000
143,88,408,198,494,266,Car,95480,True,True,445,247,463,258,DETECTED,500,1000
143,87,464,221,850,474,Car,5964,True,False,0,0,0,0,,500,1000
144,88,408,198,495,266,Car,94798,True,True,447,247,465,258,DETECTED,500,1000
144,87,466,221,851,475,Car,5815,True,False,0,0,0,0,,500,1000
145,88,409,199,496,266,Car,93502,True,True,447,246,465,259,DETECTED,500,1000
145,87,468,222,852,475,Car,5920,True,False,0,0,0,0,,500,1000
146,88,409,200,496,268,Car,91340,True,True,447,248,466,259,DETECTED,500,1000
146,87,470,224,852,475,Car,6143,True,False,0,0,0,0,,500,1000
147,88,408,200,496,269,Car,89603,True,True,449,249,467,260,DETECTED,500,1000
147,87,472,226,852,475,Car,6308,True,False,0,0,0,0,,500,1000
148,88,409,200,497,271,Car,88405,True,True,448,249,467,261,DETECTED,500,1000
148,87,475,228,852,475,Car,6282,True,False,0,0,0,0,,500,1000
149,88,409,201,497,272,Car,86785,True,True,448,249,468,261,DETECTED,500,1000
149,87,477,231,853,476,Car,6406,True,False,0,0,0,0,,500,1000
150,88,409,201,498,272,Car,85536,True,True,448,250,468,262,DETECTED,500,1000
150,87,480,233,853,476,Car,6430,True,False,0,0,0,0,,500,1000
151,88,409,201,498,273,Car,83560,True,True,449,250,467,262,DETECTED,500,1000
151,87,484,235,854,476,Car,6545,True,False,0,0,0,0,,500,1000
152,88,408,201,498,273,Car,82554,True,True,450,250,468,262,DETECTED,500,1000
152,87,487,237,853,476,Car,6506,True,False,0,0,0,0,,500,1000
153,88,408,201,499,273,Car,80895,True,True,449,250,468,262,DETECTED,500,1000
153,87,490,239,853,476,Car,6452,True,False,0,0,0,0,,500,1000
154,88,408,201,499,273,Car,78072,True,True,449,250,468,262,DETECTED,500,1000
154,87,493,242,853,476,Car,6593,True,False,0,0,0,0,,500,1000
155,88,408,201,499,274,Car,75552,True,True,449,251,468,262,DETECTED,500,1000
155,87,497,245,853,476,Car,6768,True,False,0,0,0,0,,500,1000
156,88,408,201,500,274,Car,73826,True,True,448,250,468,262,DETECTED,500,1000
156,87,501,248,854,476,Car,6747,True,False,0,0,0,0,,500,1000
157,88,407,200,499,274,Car,72198,True,True,449,251,468,262,DETECTED,500,1000
157,87,507,250,854,475,Car,6806,True,False,0,0,0,0,,500,1000
158,88,406,200,499,273,Car,69748,True,True,449,249,468,262,DETECTED,500,1000
158,87,512,253,855,476,Car,6878,True,False,0,0,0,0,,500,1000
159,88,406,199,499,273,Car,65886,True,True,448,250,467,262,DETECTED,500,1000
159,87,518,259,855,477,Car,6866,True,False,0,0,0,0,,500,1000
160,88,405,199,499,273,Car,64063,True,True,448,251,468,263,DETECTED,500,1000
160,87,523,263,855,477,Car,7055,True,False,0,0,0,0,,500,1000
161,88,404,200,498,275,Car,59931,True,True,447,251,467,264,DETECTED,500,1000
161,87,529,268,856,478,Car,7303,True,False,0,0,0,0,,500,1000
162,88,404,200,498,276,Car,56782,True,True,447,253,466,265,DETECTED,500,1000
162,87,536,274,856,479,Car,7353,True,False,0,0,0,0,,500,1000
163,88,403,201,499,277,Car,7427,True,True,448,253,468,266,DETECTED,500,1000
163,87,545,285,857,482,Car,50284,True,False,0,0,0,0,,500,1000
164,88,403,201,499,277,Car,7408,True,True,447,254,467,266,DETECTED,500,1000
164,87,554,296,859,483,Car,44951,True,False,0,0,0,0,,500,1000
165,88,402,201,499,278,Car,7583,True,True,447,254,467,267,DETECTED,500,1000
165,87,565,310,861,485,Car,38325,True,False,0,0,0,0,,500,1000
166,88,401,201,499,278,Car,7601,True,True,446,254,466,267,DETECTED,500,1000
166,87,577,326,863,488,Car,31361,True,False,0,0,0,0,,500,1000
167,88,399,201,498,278,Car,7696,True,True,446,255,466,268,DETECTED,500,1000
168,88,399,202,499,279,Car,7696,True,True,446,256,466,268,DETECTED,500,1000
169,88,399,203,499,280,Car,7952,True,True,446,256,466,269,DETECTED,500,1000
170,88,398,203,499,281,Car,8087,True,True,445,258,466,271,DETECTED,500,1000
171,88,398,204,499,282,Car,7941,True,True,446,257,466,271,DETECTED,500,1000
172,88,399,204,500,282,Car,7781,True,True,446,258,466,271,DETECTED,500,1000
173,88,399,204,500,283,Car,7717,True,True,447,259,466,271,DETECTED,500,1000
174,88,399,205,500,283,Car,7731,True,True,446,260,466,272,DETECTED,500,1000
175,88,399,205,500,284,Car,7800,True,True,446,260,466,273,DETECTED,500,1000
176,88,398,206,500,284,Car,7957,True,True,447,260,467,273,DETECTED,500,1000
177,88,399,206,500,285,Car,8107,True,True,446,261,467,274,DETECTED,500,1000
178,88,398,207,501,285,Car,7941,True,True,446,261,468,275,DETECTED,500,1000
179,88,399,208,501,287,Car,7972,True,True,445,263,466,276,DETECTED,500,1000
180,88,398,209,500,288,Car,7998,True,True,445,265,467,278,DETECTED,500,1000
181,88,399,211,501,290,Car,8111,True,True,444,266,466,279,DETECTED,500,1000
182,88,399,212,501,291,Car,8260,True,True,445,267,466,281,DETECTED,500,1000
183,88,399,212,501,291,Car,7726,True,True,445,269,466,282,DETECTED,500,1000
184,88,399,213,500,293,Car,7812,True,True,443,270,465,283,DETECTED,500,1000
185,88,398,215,500,294,Car,8167,True,True,444,271,465,284,DETECTED,500,1000
186,88,397,215,500,295,Car,8134,True,True,444,271,466,285,DETECTED,500,1000
