frame,vehicle_id,v_x1,v_y1,v_x2,v_y2,vehicle_type,bbox_area,detected,plate_detected,p_x1,p_y1,p_x2,p_y2,plate_text,individual_toll,total_toll
277,100,255,543,488,862,Car,60504,True,False,0,0,0,0,,500,500
278,100,266,554,489,863,Car,54624,True,False,0,0,0,0,,500,500
279,100,278,566,490,864,Car,48569,True,False,0,0,0,0,,500,500
280,100,294,580,493,865,Car,40502,True,False,0,0,0,0,,500,500
281,100,312,596,495,868,Car,32334,True,False,0,0,0,0,,500,500
282,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
283,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
284,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
285,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
286,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
287,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
288,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
289,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
290,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
291,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
292,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
293,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
294,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
295,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
296,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
297,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
298,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
299,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
300,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
301,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
302,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
303,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
304,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
305,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
306,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
307,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
308,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
309,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
310,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
314,102,87,345,129,383,Car,1616,True,False,0,0,0,0,,500,1000
315,102,87,344,130,383,Car,1695,True,False,0,0,0,0,,500,1000
316,102,87,344,130,384,Car,1747,True,False,0,0,0,0,,500,1000
317,102,86,343,130,384,Car,1780,True,False,0,0,0,0,,500,1000
318,102,86,343,131,385,Car,1936,True,False,0,0,0,0,,500,1000
319,102,85,344,131,386,Car,1919,True,False,0,0,0,0,,500,1000
320,102,85,344,131,387,Car,1953,True,False,0,0,0,0,,500,1000
321,102,85,343,131,387,Car,1959,True,False,0,0,0,0,,500,1000
322,102,85,343,131,387,Car,2044,True,False,0,0,0,0,,500,1000
323,102,85,342,131,387,Car,2094,True,False,0,0,0,0,,500,1000
324,102,84,342,132,388,Car,2190,True,False,0,0,0,0,,500,1000
325,102,84,342,132,388,Car,2188,True,False,0,0,0,0,,500,1000
326,102,84,343,133,389,Car,2174,True,False,0,0,0,0,,500,1000
327,102,84,345,133,390,Car,2013,True,False,0,0,0,0,,500,1000
328,102,84,345,134,390,Car,2210,True,False,0,0,0,0,,500,1000
329,102,84,344,134,390,Car,2312,True,False,0,0,0,0,,500,1000
330,102,84,346,135,391,Car,2213,True,False,0,0,0,0,,500,1000
331,102,85,345,136,392,Car,2450,True,False,0,0,0,0,,500,1000
332,102,85,346,136,392,Car,2321,True,False,0,0,0,0,,500,1000
333,102,85,347,136,393,Car,2397,True,False,0,0,0,0,,500,1000
334,102,85,347,137,394,Car,2396,True,False,0,0,0,0,,500,1000
335,102,85,347,137,394,Car,2527,True,False,0,0,0,0,,500,1000
336,102,85,346,138,395,Car,2614,True,False,0,0,0,0,,500,1000
337,102,85,347,138,395,Car,2560,True,False,0,0,0,0,,500,1000
338,102,85,345,139,395,Car,2816,True,False,0,0,0,0,,500,1000
339,102,85,344,139,395,Car,2830,True,False,0,0,0,0,,500,1000
340,102,85,345,140,396,Car,2896,True,False,0,0,0,0,,500,1000
341,102,86,344,142,396,Car,3079,True,False,0,0,0,0,,500,1000
342,102,86,344,143,397,Car,3068,True,False,0,0,0,0,,500,1000
343,102,86,344,144,397,Car,3186,True,False,0,0,0,0,,500,1000
344,102,86,343,144,398,Car,3169,True,True,89,364,130,380,DETECTED,500,1000
345,102,86,344,145,398,Car,3141,True,True,92,363,132,381,DETECTED,500,1000
346,102,86,344,144,399,Car,3290,True,True,90,364,130,381,DETECTED,500,1000
347,102,85,344,145,400,Car,3466,True,False,0,0,0,0,,500,1000
348,102,85,344,145,401,Car,3463,True,False,0,0,0,0,,500,1000
349,102,84,344,145,402,Car,3544,True,False,0,0,0,0,,500,1000
350,102,84,345,145,403,Car,3587,True,False,0,0,0,0,,500,1000
351,102,84,345,146,403,Car,3658,True,False,0,0,0,0,,500,1000
352,102,83,344,145,404,Car,3692,True,False,0,0,0,0,,500,1000
353,102,83,345,145,404,Car,3696,True,False,0,0,0,0,,500,1000
354,102,83,345,146,405,Car,3865,True,False,0,0,0,0,,500,1000
355,102,83,344,146,405,Car,3931,True,False,0,0,0,0,,500,1000
356,102,83,344,147,405,Car,4044,True,False,0,0,0,0,,500,1000
357,102,83,343,148,405,Car,4125,True,False,0,0,0,0,,500,1000
358,102,84,344,150,407,Car,4132,True,False,0,0,0,0,,500,1000
359,102,85,344,151,407,Car,4201,True,False,0,0,0,0,,500,1000
360,102,86,344,152,408,Car,4333,True,False,0,0,0,0,,500,1000
361,102,86,343,153,408,Car,4501,True,False,0,0,0,0,,500,1000
362,102,86,342,154,408,Car,4625,True,False,0,0,0,0,,500,1000
363,102,86,343,155,409,Car,4722,True,False,0,0,0,0,,500,1000
364,102,86,344,156,411,Car,4824,True,False,0,0,0,0,,500,1000
365,102,86,344,157,413,Car,5084,True,False,0,0,0,0,,500,1000
366,102,86,345,158,414,Car,5240,True,False,0,0,0,0,,500,1000
